strategy_name,term,entry_mode,symbol,name,listing_date,unlock_date,reason,query_start,query_end,prev_close_vs_ipo,threshold,daily_rows,daily_min,daily_max,target_entry_date,entry_idx,exit_idx
3M_close_midhold,3M,close,309710,아이티켐,2025-08-07,2025-11-07,prev_close_vs_ipo_below_min,20251018,20260209,1.6925465838509317,2.0,,,,,,
3M_close_midhold,3M,close,456160,지투지바이오,2025-08-14,2025-11-14,prev_close_vs_ipo_below_min,20251025,20260216,1.589655172413793,2.0,,,,,,
3M_close_midhold,3M,close,484590,삼양컴텍,2025-08-18,2025-11-18,prev_close_vs_ipo_below_min,20251029,20260220,1.848051948051948,2.0,,,,,,
3M_close_midhold,3M,close,000008,에스엔시스,2025-08-19,2025-11-19,daily_empty_symbol,20251030,20260221,,,,,,,,
3M_close_midhold,3M,close,125490,한라캐스트,2025-08-20,2025-11-20,prev_close_vs_ipo_below_min,20251031,20260222,1.6793103448275861,2.0,,,,,,
3M_close_midhold,3M,close,000010,제이피아이헬스케어,2025-08-21,2025-11-21,daily_empty_symbol,20251101,20260223,,,,,,,,
3M_close_midhold,3M,close,397810,애드포러스,2025-08-22,2025-11-22,ipo_price_missing_for_prev_filter,20251102,20260224,,,,,,,,
3M_close_midhold,3M,close,318060,그래피,2025-08-25,2025-11-25,prev_close_vs_ipo_below_min,20251105,20260227,0.8466666666666667,2.0,,,,,,
3M_close_midhold,3M,close,496320,본시스템즈,2025-09-08,2025-12-08,ipo_price_missing_for_prev_filter,20251118,20260312,,,,,,,,
3M_close_midhold,3M,close,342870,오아,2025-09-09,2025-12-09,ipo_price_missing_for_prev_filter,20251119,20260313,,,,,,,,
3M_close_midhold,3M,close,317450,명인제약,2025-10-01,2026-01-01,prev_close_vs_ipo_below_min,20251212,20260405,1.1879310344827587,2.0,,,,,,
3M_close_midhold,3M,close,014950,삼익제약,2025-10-27,2026-01-27,ipo_price_missing_for_prev_filter,20260107,20260501,,,,,,,,
3M_close_midhold,3M,close,486990,노타,2025-11-03,2026-02-03,exit_out_of_range,20260114,20260508,,,43.0,,,,14.0,46.0
3M_close_midhold,3M,close,469610,이노테크,2025-11-07,2026-02-07,prev_close_vs_ipo_below_min,20260118,20260512,1.5680272108843538,2.0,,,,,,
3M_close_midhold,3M,close,494120,큐리오시스,2025-11-13,2026-02-13,exit_out_of_range,20260124,20260518,,,35.0,,,,14.0,46.0
3M_close_midhold,3M,close,061090,세나테크놀로지,2025-11-14,2026-02-14,prev_close_vs_ipo_below_min,20260125,20260519,0.8133802816901409,2.0,,,,,,
3M_close_midhold,3M,close,000015,그린광학,2025-11-17,2026-02-17,daily_empty_symbol,20260128,20260522,,,,,,,,
