name,name_key,symbol,listing_date,ipo_price,market,lead_manager,listed_shares,ipo_price_source
애드포러스,애드포러스,397810,2025-08-22,,코스닥,nan,,
그래피,그래피,318060,2025-08-25,15000.0,코스닥,"신한투자증권 주식회사,KB증권(주)",,38
본시스템즈,본시스템즈,496320,2025-09-08,,코넥스,아이비케이투자증권(주),,
오아,오아,342870,2025-09-09,,코스닥,nan,,
에스투더블유,에스투더블유,488280,2025-09-19,13200.0,코스닥,대신증권(주),,38
명인제약,명인제약,317450,2025-10-01,58000.0,유가,KB증권(주),,38
삼익제약,삼익제약,014950,2025-10-27,,코스닥,nan,,
노타,노타,486990,2025-11-03,9100.0,코스닥,미래에셋증권 주식회사,,38
이노테크,이노테크,469610,2025-11-07,14700.0,코스닥,KB증권(주),,38
큐리오시스,큐리오시스,494120,2025-11-13,22000.0,코스닥,키움증권(주),,38
세나테크놀로지,세나테크놀로지,061090,2025-11-14,56800.0,코스닥,"신한투자증권 주식회사,KB증권(주)",,38
그린광학,그린광학,000015,2025-11-17,16000.0,코스닥,신영증권(주),,38
알트,알트,459550,2025-11-17,,코스닥,nan,,
더핑크퐁컴퍼니,더핑크퐁컴퍼니,403850,2025-11-18,38000.0,코스닥,"미래에셋증권 주식회사,삼성증권(주)",,38
아이엘로보틱스,아이엘로보틱스,403810,2025-11-18,,코넥스,nan,,
씨엠티엑스,씨엠티엑스,388210,2025-11-20,60500.0,코스닥,미래에셋증권 주식회사,,38
비츠로넥스텍,비츠로넥스텍,488900,2025-11-21,6900.0,코스닥,엔에이치투자증권(주),,38
삼성에피스홀딩스,삼성에피스홀딩스,000126,2025-11-24,,유가,엔에이치투자증권(주),,
삼양바이오팜,삼양바이오팜,000120,2025-11-24,,유가,KB증권(주),,
아로마티카,아로마티카,000015,2025-11-27,8000.0,코스닥,신한투자증권 주식회사,,38
에임드바이오,에임드바이오,000009,2025-12-04,11000.0,코스닥,미래에셋증권 주식회사,,38
테라뷰,테라뷰,950250,2025-12-09,8000.0,코스닥,삼성증권(주),,kind
페스카로,페스카로,000015,2025-12-10,15500.0,코스닥,"엔에이치투자증권(주),한화투자증권(주)",,38
이지스,이지스,261520,2025-12-11,15000.0,코스닥,엔에이치투자증권(주),,38
쿼드메디슨,쿼드메디슨,464490,2025-12-12,15000.0,코스닥,엔에이치투자증권(주),,38
티엠씨,티엠씨,217590,2025-12-15,9300.0,유가,미래에셋증권 주식회사,,38
아크릴,아크릴,000007,2025-12-16,19500.0,코스닥,신한투자증권 주식회사,,38
나라스페이스테크놀로지,나라스페이스테크놀로지,478340,2025-12-17,16500.0,코스닥,삼성증권(주),,38
알지노믹스,알지노믹스,476830,2025-12-18,22500.0,코스닥,"엔에이치투자증권(주),삼성증권(주)",,38
삼진식품,삼진식품,000013,2025-12-22,7600.0,코스닥,대신증권(주),,38
엔더블유시,엔더블유시,059180,2025-12-22,,코넥스,교보증권(주),,
리브스메드,리브스메드,491000,2025-12-24,55000.0,코스닥,"미래에셋증권 주식회사,삼성증권(주)",,38
삼미금속,삼미금속,012210,2025-12-29,,코스닥,nan,,
세미파이브,세미파이브,490470,2025-12-29,24000.0,코스닥,"삼성증권(주),유비에스증권 리미티드 서울지점",,38
엔비알모션,엔비알모션,000004,2026-01-14,,코스닥,nan,,
지에프아이,지에프아이,493330,2026-01-14,,코스닥,nan,,
덕양에너젠,덕양에너젠,000001,2026-01-30,10000.0,코스닥,"미래에셋증권 주식회사,엔에이치투자증권(주)",,38
케이뱅크,케이뱅크,279570,2026-03-05,8300.0,유가,"엔에이치투자증권(주),삼성증권(주)",,38
에스팀,에스팀,458350,2026-03-06,8500.0,코스닥,한국투자증권(주),,38
액스비스,액스비스,000011,2026-03-09,11500.0,코스닥,미래에셋증권 주식회사,,38
카나프테라퓨틱스,카나프테라퓨틱스,000082,2026-03-16,20000.0,코스닥,한국투자증권(주),,38
아이엠바이오로직스,아이엠바이오로직스,493280,2026-03-20,26000.0,코스닥,"신한투자증권 주식회사,한국투자증권(주)",,38
한패스,한패스,408470,2026-03-25,19000.0,코스닥,"한국투자증권(주),대신증권(주)",,38
메쥬,메쥬,000088,2026-03-26,21600.0,코스닥,신한투자증권 주식회사,,38
