name_key,name,ipo_price,listing_date,source_kinds
바이오노트,바이오노트(유가),9000.0,2022-12-22,"new_listing,subscription"
비엔케이스팩1호,비엔케이스팩1호,2000.0,2022-12-22,"new_listing,subscription"
신영스팩9호,신영스팩9호,2000.0,2022-12-27,"new_listing,subscription"
티이엠씨,티이엠씨,28000.0,2023-01-19,"new_listing,subscription"
한주라이트메탈,한주라이트메탈(구.한주금속),3100.0,2023-01-19,"new_listing,subscription"
미래반도체,미래반도체,6000.0,2023-01-27,"new_listing,subscription"
오브젠,오브젠,18000.0,2023-01-30,"new_listing,subscription"
삼기이브이,삼기이브이,11000.0,2023-02-03,"new_listing,subscription"
스튜디오미르,스튜디오미르,19500.0,2023-02-07,"new_listing,subscription"
꿈비,꿈비,5000.0,2023-02-09,"new_listing,subscription"
샌즈랩,샌즈랩,10500.0,2023-02-15,"new_listing,subscription"
제이오,제이오,13000.0,2023-02-16,"new_listing,subscription"
이노진,이노진,3000.0,2023-02-20,"new_listing,subscription"
미래에셋비전스팩2호,미래에셋비전스팩2호,2000.0,2023-02-24,"new_listing,subscription"
유안타스팩13호,유안타스팩13호,2000.0,2023-02-28,"new_listing,subscription"
바이오인프라,바이오인프라,21000.0,2023-03-02,"new_listing,subscription"
삼성스팩8호,삼성스팩8호,10000.0,2023-03-02,"new_listing,subscription"
나노팀,나노팀,13000.0,2023-03-03,"new_listing,subscription"
자람테크놀로지,자람테크놀로지,22000.0,2023-03-07,"new_listing,subscription"
하나스팩26호,하나스팩26호,2000.0,2023-03-07,"new_listing,subscription"
nh스팩28호,NH스팩28호,2000.0,2023-03-09,"new_listing,subscription"
금양그린파워,금양그린파워,10000.0,2023-03-13,"new_listing,subscription"
미래에셋드림스팩1호,미래에셋드림스팩1호,10000.0,2023-03-15,"new_listing,subscription"
유안타스팩12호,유안타스팩12호,2000.0,2023-03-17,"new_listing,subscription"
한화위탁관리부동산투자회사,한화위탁관리부동산투자회사,5000.0,2023-03-27,"new_listing,subscription"
엘비인베스트먼트,엘비인베스트먼트,5100.0,2023-03-29,"new_listing,subscription"
지아이이노베이션,지아이이노베이션,13000.0,2023-03-30,"new_listing,subscription"
ibks스팩22호,IBKS스팩22호,2000.0,2023-04-06,"new_listing,subscription"
하나스팩27호,하나스팩27호,2000.0,2023-04-06,"new_listing,subscription"
미래에셋비전스팩3호,미래에셋비전스팩3호,2000.0,2023-04-07,"new_listing,subscription"
삼성fn리츠,삼성FN리츠(유가),5000.0,2023-04-10,"new_listing,subscription"
마이크로투나노,마이크로투나노,15500.0,2023-04-26,"new_listing,subscription"
토마토시스템,토마토시스템,18200.0,2023-04-27,"new_listing,subscription"
에스바이오메딕스,에스바이오메딕스,18000.0,2023-05-04,"new_listing,subscription"
키움스팩8호,키움스팩8호,2000.0,2023-05-17,"new_listing,subscription"
트루엔,트루엔,12000.0,2023-05-17,"new_listing,subscription"
모니터랩,모니터랩,9800.0,2023-05-19,"new_listing,subscription"
씨유박스,씨유박스,15000.0,2023-05-19,"new_listing,subscription"
기가비스,기가비스,43000.0,2023-05-24,"new_listing,subscription"
진영,진영(구.진영엘디엠),5000.0,2023-06-01,"new_listing,subscription"
나라셀라,나라셀라,20000.0,2023-06-02,"new_listing,subscription"
마녀공장,마녀공장,16000.0,2023-06-08,"new_listing,subscription"
큐라티스,큐라티스,4000.0,2023-06-15,"new_listing,subscription"
프로테옴텍,프로테옴텍,4500.0,2023-06-16,"new_listing,subscription"
하이스팩8호,하이스팩8호,2000.0,2023-06-22,"new_listing,subscription"
kb스팩25호,KB스팩25호,2000.0,2023-06-23,"new_listing,subscription"
nh스팩29호,NH스팩29호,2000.0,2023-06-23,"new_listing,subscription"
하나스팩29호,하나스팩29호,2000.0,2023-06-28,"new_listing,subscription"
