strategy_name,term,entry_mode,symbol,name,listing_date,unlock_date,entry_dt,entry_price,exit_dt,exit_price,hold_days_after_entry,ipo_price,ipo_price_source,prev_close_vs_ipo,prev_close_date,entry_price_vs_ipo,gross_ret,net_ret
1M_close_midhold,1M,close,160190,하이젠알앤엠,2024-06-27,2024-07-27,2024-07-29,9700.0,2024-08-28,10480.0,21,7000.0,kind,1.5114285714285713,2024-07-26,1.3857142857142857,0.08041237113402055,0.07792779536677741
1M_close_midhold,1M,close,464280,티디에스팜,2024-08-21,2024-09-21,2024-09-23,21850.0,2024-10-25,14260.0,21,13000.0,kind,2.4,2024-09-20,1.6807692307692308,-0.34736842105263155,-0.3488692485600845
1M_close_midhold,1M,close,456070,이엔셀,2024-08-23,2024-09-23,2024-09-23,23050.0,2024-10-25,21200.0,21,15300.0,kind,1.7843137254901962,2024-09-20,1.5065359477124183,-0.08026030368763559,-0.08237538772654807
1M_close_midhold,1M,close,459100,위츠,2024-11-20,2024-12-20,2024-12-20,9990.0,2025-01-23,8180.0,21,6400.0,kind,1.7046875,2024-12-19,1.5609375,-0.1811811811811812,-0.1830641820143396
1M_close_midhold,1M,close,450950,아스테라시스,2025-01-24,2025-02-24,2025-02-24,9030.0,2025-03-26,8650.0,21,4600.0,kind,1.8565217391304347,2025-02-21,1.9630434782608697,-0.042081949058693224,-0.044284830143695664
1M_close_midhold,1M,close,452450,피아이이,2025-02-04,2025-03-04,2025-03-04,9000.0,2025-04-02,9210.0,21,5000.0,kind,1.906,2025-02-28,1.8,0.023333333333333428,0.020980019663717098
1M_close_midhold,1M,close,463480,모티브링크,2025-02-20,2025-03-20,2025-03-20,12470.0,2025-04-18,14860.0,21,6000.0,kind,2.2183333333333333,2025-03-19,2.078333333333333,0.19165998396150763,0.1889195770594314
1M_close_midhold,1M,close,479960,위너스,2025-02-24,2025-03-24,2025-03-24,17690.0,2025-04-22,17440.0,21,8500.0,kind,2.088235294117647,2025-03-21,2.081176470588235,-0.014132278123233477,-0.01639943381019693
1M_close_midhold,1M,close,393970,대진첨단소재,2025-03-06,2025-04-06,2025-04-07,12200.0,2025-05-09,11930.0,21,9000.0,kind,1.5477777777777777,2025-04-04,1.3555555555555556,-0.022131147540983553,-0.024379908587482513
1M_close_midhold,1M,close,484810,티엑스알로보틱스,2025-03-20,2025-04-20,2025-04-21,21150.0,2025-05-23,15870.0,21,13500.0,kind,1.6296296296296295,2025-04-18,1.5666666666666667,-0.249645390070922,-0.2513709468402434
1M_close_midhold,1M,close,098070,한텍,2025-03-20,2025-04-20,2025-04-21,39600.0,2025-05-23,36150.0,21,10800.0,kind,3.7175925925925926,2025-04-18,3.6666666666666665,-0.08712121212121215,-0.08922051843738588
1M_close_midhold,1M,close,459510,나우로보틱스,2025-05-08,2025-06-08,2025-06-09,24950.0,2025-07-08,18930.0,21,6800.0,kind,4.051470588235294,2025-06-05,3.6691176470588234,-0.24128256513026047,-0.24302735351220373
1M_close_midhold,1M,close,476040,오가노이드사이언스,2025-05-09,2025-06-09,2025-06-09,32450.0,2025-07-08,35600.0,21,21000.0,kind,1.5285714285714285,2025-06-05,1.5452380952380953,0.09707241910631748,0.09454953097559238
1M_close_midhold,1M,close,136150,원일티엔아이,2025-05-09,2025-06-09,2025-06-09,24900.0,2025-07-08,26850.0,21,13500.0,kind,1.9703703703703703,2025-06-05,1.8444444444444446,0.07831325301204828,0.07583350449239834
1M_close_midhold,1M,close,376900,로킷헬스케어,2025-05-12,2025-06-12,2025-06-12,15110.0,2025-07-11,17440.0,21,11000.0,kind,1.5536363636363637,2025-06-11,1.3736363636363635,0.15420251489080083,0.15154824724669846
1M_close_midhold,1M,close,489460,바이오비쥬,2025-05-20,2025-06-20,2025-06-20,17290.0,2025-07-21,21350.0,21,9100.0,kind,1.8626373626373627,2025-06-19,1.9,0.23481781376518218,0.23197815874177552
1M_close_midhold,1M,close,483650,달바글로벌,2025-05-22,2025-06-22,2025-06-23,183200.0,2025-07-22,207500.0,21,66300.0,kind,2.6018099547511313,2025-06-20,2.7631975867269984,0.13264192139737996,0.13003723568102332
1M_close_midhold,1M,close,287840,인투셀,2025-05-23,2025-06-23,2025-06-23,39050.0,2025-07-22,26100.0,21,17000.0,kind,2.226470588235294,2025-06-20,2.2970588235294116,-0.3316261203585147,-0.3331631497272849
1M_close_midhold,1M,close,475430,키스트론,2025-06-02,2025-07-02,2025-07-02,5740.0,2025-07-31,5680.0,21,3600.0,kind,1.7055555555555555,2025-07-01,1.5944444444444446,-0.010452961672473893,-0.012728578518100386
1M_close_midhold,1M,close,463020,뉴엔AI,2025-07-04,2025-08-04,2025-08-04,27100.0,2025-09-03,22000.0,21,15000.0,kind,1.95,2025-08-01,1.8066666666666666,-0.1881918819188192,-0.19005876055860993
1M_close_midhold,1M,close,234030,싸이닉솔루션,2025-07-07,2025-08-07,2025-08-07,8570.0,2025-09-08,7870.0,21,4700.0,kind,1.8340425531914895,2025-08-06,1.823404255319149,-0.08168028004667449,-0.08379209862977965
1M_close_midhold,1M,close,439260,대한조선,2025-08-01,2025-09-01,2025-09-01,80800.0,2025-09-30,80900.0,21,50000.0,kind,1.718,2025-08-29,1.616,0.0012376237623761277,-0.0010648773971033698
